Let's try something.	Mari kita coba sesuatu.
I hope to see you soon.	Aku harap aku bisa segera bertemu denganmu lagi.
We have had bad weather recently.	Akhir-akhir ini cuacanya buruk.
There is a shopping area nearby.	Ada tempat perbelanjaan di dekat sini.
In the near future, we will be able to put an end to AIDS.	Dalam waktu dekat ini kita akan mampu mengobati AIDS
Do you have a non-smoking section?	Apakah ada area bebas rokok?
I advise you to stop smoking.	Saya sarankan Anda untuk berhenti merokok.
Turn on your back.	Balikkan badanmu.
Thank you for your interest.	Terima kasih atas ketertarikan Anda.
Don't scare me like that!	Jangan menakut-nakutiku seperti itu!
I have a sharp pain in my chest.	Dadaku rasanya nyeri.
A small road ran across the bridge, through the fields, and over a hill.	Jalan kecil melintasi jembatan, menembus pedesaan, dan kearah bukit.
The bridge is open to traffic.	Jembatan itu terbuka untuk lalu lintas.
The bridge had been built before that time.	Jembatannya telah dibangun sebelum waktu itu.
Do you know the man standing on the bridge?	Apakah Anda kenal dengan orang yang berdiri di atas jembatan itu?
It was dark under the bridge.	Di bawah jembatan gelap.
My driving instructor says I should be more patient.	Instruktur mengemudiku berkata bahwa aku harus lebih sabar.
The professor's boring lecture put me to sleep.	Profesor memberi yang memberi kuliah membosankan membuatku tertidur.
Keep your classroom clean.	Jagalah kebersihan kelasmu.
There were few students left in the classroom.	Ada sedikit siswa yang tersisa di kelas.
I wish our classroom were air-conditioned.	Aku harap kelas kita berpendingin ruangan.
You must not make noises in the classroom.	Di dalam kelas tidak boleh berisik.
The teacher is likely to get angry with the students.	Guru itu mudah sekali menjadi marah dengan murid-muridnya.
Go straight ahead until you reach the church.	Terus jalan lurus hingga tiba di gereja tersebut.
Would you please open the window?	Bisakah kau membuka jendelanya?
Don't be afraid.	Jangan takut.
The thief forced her to hand over the money.	Perampok itu memaksanya untuk menyerahkan uangnya.
A strong wind was blowing.	Sebuah angin kencang berhembus.
Kyoto is famous for its shrines and temples.	Kyoto terkenal dengan kuil dan viharanya.
Kyoto is visited by many tourists.	Kyoto dikunjungi oleh banyak turis.
How do you like Kyoto?	Bagaimana menurut Anda kota Kyoto?
There was an enormous traffic jam in downtown Kyoto.	Terdapat banyak kemacetan lalu lintas di jalanan Kyoto.
Summers are very hot in Kyoto.	Musim panas di Kyoto sangat panas.
I had a stroke last year.	Saya terserang strok tahun lalu.
She went there last summer.	Dia pergi ke sana musim panas lalu.
Do you have some milk?	Apa kau punya susu?
I bought two bottles of milk.	Saya membeli susu dua botol.
I ran into an old friend.	Aku berjumpa dengan kawan lamaku.
Waiter, please bring me some water.	Pelayan, tolong bawakan aku air.
Try to keep from crying.	Cobalah untuk tidak menangis.
I don't know whether to cry or to laugh.	Aku tak tahu apakah mesti menangis atau tertawa.
You don't have to hurry.	Kau tidak perlu tergesa-gesa.
We didn't need to hurry.	Kita tidak perlu tergesa-gesa.
Hurry up, or you will be late.	Cepatlah, atau kau akan terlambat.
Hurry up, or you'll miss the bus.	Cepatlah, atau kau akan ketinggalan busnya.
Hurry up, or we'll miss the train.	Cepat, atau kita akan ketinggalan keretanya.
Hurry up, or you'll be late.	Cepat, nanti terlambat.
I must hurry to class.	Aku harus segera pergi ke kelas.
Hurry up, Tom.	Cepat, Tom.
Are you in a hurry?	Apa kamu sedang terburu-buru?
Did you enjoy your holiday?	Apa kau menikmati liburanmu?
The holiday traffic crawled along the highway.	Pada hari libur lalu-lintas merayap sepanjang jalan raya.
Let's take a break for coffee.	Mari istirahat dan minum kopi.
How was your vacation?	Bagaimana liburan Anda?
May I take a rest?	Bolehkah saya istirahat?
I did nothing during the holidays.	Saya tidak melakukan apa-apa selama liburan.
The visitor sat across from me.	Tamunya duduk berhadapan dengan saya.
As I entered a tearoom, I found two young men watching a wrestling match on television.	Setelah aku memasuki kedai teh, aku melihat ada dua orang pemuda yang sedang menonton pertandingan gulat di TV.
Smoking is bad for you.	Merokok tidak baik untuk Anda.
It is hardly worth discussing.	Tidak ada gunanya mendiskusikannya.
You must do your duty.	Kau harus melaksanakan tugasmu.
There is no room for doubt.	Tidak ada ruang untuk ragu.
There is little room for doubt.	Masih ada kemungkinan kalau itu benar.
You cannot make omelets without breaking eggs.	Kamu tidak bisa membuat dadar tanpa memecah telur.
Experience without learning is better than learning without experience.	Pengalaman tanpa belajar lebih baik daripada belajar tanpa pengalaman.
All that glitters is not gold.	Tidak semua kertas kecil adalah cek.
You need not have woken me up.	Kamu tidak perlu membangunkanku.
Time to get up.	Waktunya bangun.
Get up!	Bangun!
You are the only one.	Kaulah satu-satunya.
You are my best friend.	Kau adalah sahabat karibku.
Please tell me the closest station to your office.	Mohon beri tahu saya stasiun terdekat ke kantor anda.
She cried bitterly at a press interview.	Dia menangis dengan sedih pada saat wawancara dengan wartawan.
An orderly lifestyle and a regular diet are the keys to health.	Gaya hidup dan keseimbangan makanan yang teratur adalah kunci bagi hidup sehat.
The train was due at six.	Keretanya dijadwalkan untuk tiba pada pukul enam.
I had my purse and commutation ticket stolen while I was sleeping on the train.	Aku mendapati dompet dan karcis comuterku dicuri saat aku tertidur di kereta.
I'm not feeling well.	Aku merasa tidak enak badan.
Do you feel sick?	Apa kamu merasa sakit?
You have to be patient.	Kau harus bersabar.
The generous dentist contributed some two billion yen to charity.	Dokter gigi yang murah hati itu memberikan sejumlah dua milyar yen untuk amal.
I think I'm going to faint.	Rasanya aku mau pingsan.
Look out! There's a hole in the road.	Awas, Ada lubang di jalanan.
Let your hair down a little.	Santai saja, tidak usah khawatir.
If you're not careful you'll miss a traffic sign!	Bila kamu kurang hati-hati tanda-tanda lalu lintas akan terlewat (tidak terlihat).
Watch out! There's a big hole there.	Hati-hati! Di sana ada lubang besar.
Forget it.	Lupakan.
I'm exhausted.	Aku kelelahan.
Turn off the television. I can't concentrate.	Matikan televisinya. Aku tidak bisa berkonsentrasi.
You can go home if you like.	Kalau kamu mau, kamu bisa pulang lebih awal.
Wait here till I come back.	Tunggulah di sini hingga aku kembali.
When I tried to move the desk, one of its legs made a jarring sound as it scraped across the floor.	Ketika aku mencoba memindahkan mejanya, kaki mejanya membuat suara bising saat bergesekan dengan lantai.
The desk is covered with dust.	Mejanya tertutup oleh debu.
The money on the desk is not mine.	Uang yang ada di atas meja bukan milikku.
What is on the desk?	Di atas meja ada apa?
How many pens are there on the desk?	Ada berapa banyak pena di atas meja?
A cat appeared from under the desk.	Seekor kucing muncul dari kolong meja.
The desk drawer is open.	Laci mejanya terbuka.
You must not give up hope.	Kamu tidak boleh berhenti berharap.
Strange things happened on her birthday.	Hal yang aneh telah terjadi di hari ulang tahunnya.
I'll be glad to help him.	Dengan senang hati saya akan membantunya.
I'll be glad to come.	Dengan senang hati saya akan datang.
I will gladly help you.	Saya dengan senang hati akan membantu anda.
I'm glad you enjoyed it.	Saya senang Anda menikmatinya.
He was brave in the face of danger.	Dia begitu berani di hadapan mara bahaya.
I almost missed the train.	Aku hampir saja ketinggalan keretanya.
Look out!	Awas!
I came near to being drowned.	Aku hampir saja tenggelam.
I'm getting little pimples on my face. I wonder if I've been getting enough sleep lately.	Aku menjadi sedikit berjerawat di wajahku. Aku ingin tahu apakah aku sudah cukup tidur akhir-akhir ini.
Your face is red.	Mukamu merah.
Look out for rock slides.	Hati-hatilah terhadap longsoran batu.
A customs declaration is required.	Memerlukan pemberitahuan pabean.
Correct my spelling if it's wrong.	Koreksi ejaan saya bila itu salah.
I must have made a mistake.	Aku pasti sudah membuat sebuah kesalahan.
You have the wrong number.	Kau salah memasukkan nomor telepon.
Don't be afraid of making mistakes.	Jangan takut membuat kesalahan.
Correct the mistake and return the file to Mr Luxemburg.	Koreksi kesalahannya dan kembalikan berkas itu ke Tn. Luxemburg.
Where is the tourist information office?	Di mana letak kantor pusat informasi turis?
Is there a tour guide available?	Apa ada pemandu wisatanya?
The audience appeared bored.	Penonton tersebut nampak bosan.
It is written in simple English.	Itu ditulis dengan menggunakan bahasa Inggris sederhana.
Sugar replaced honey as a sweetener.	Gula menggantikan madu sebagai pemanis.
The patient is steadily recovering.	Keadaan pasiennya perlahan mulai membaik.
Try to be generous and forgive.	Cobalah untuk menjadi seorang yang murah hati dan pemaaf.
Check, please.	Tolong bonnya.
Please add up the bill.	Tolong jumlahkan total tagihannya.
I think there's a mistake in my bill.	Saya kira ada yang salah pada tagihan saya.
Give me the bill, please.	Tolong bonnya.
Don't you feel cold?	Apakah kamu tidak merasa dingin.
Bring me a dry towel.	Bawakan aku sebuah handuk kering.
When I bite down, this tooth hurts.	Ketika aku menggigit, gigi yang ini terasa sakit.
You may leave your bag here.	Kau bisa meninggalkan tasmu di sini.
Hang your coat on the hook.	Gantung jasmu pada sangkutan.
Do you play a musical instrument?	Apa kau memainkan sebuah instrumen musik?
I'm looking forward to it.	Aku menantikannya.
We are having a good time.	Kami bersenang-senang.
I hope you're having fun.	Aku harap kalian bersenang-senang.
There is no easy road to learning.	Tidak ada jalan yang mudah untuk belajar.
The students cheered in honor of Dr. Baker's birthday.	Para murid memberikan selamat dengan hormat pada ulang tahun Dr. Baker.
The student hall is for benefit of the students.	Aula siswa dibuat demi kepentingan para siswa.
Half of the students are absent.	Setengah dari para siswa tidak hadir.
Almost all the students like English.	Hampir semua siswa menyukai bahasa Inggris.
A student wants to see you.	Seorang siswa ingin bertemu dengan Anda.
I graduated from the school.	Saya sudah lulus sekolah.
He was going to school.	Dia baru akan berangkat menuju ke sekolah.
School begins the day after tomorrow.	Kegiatan sekolah akan dimulai besok lusa.
School starts next Monday.	Sekolah mulai Senin depan.
School begins at 8:10 a.m.	Kegiatan sekolah dimulai pada pukul 8:10 pagi.
What time does school begin?	Jam berapa kegiatan sekolah akan dimulai?
Don't be late for school.	Jangan terlambat datang ke sekolah.
It's time to go to school.	Waktunya pergi ke sekolah.
Instead of going to school, he stayed at home.	Bukannya sekolah, dia malah di rumah.
I am positive that he is wrong.	Aku yakin bahwa dia salah.
Give us a ride downtown.	Tolong antarkan kami sampai ke pusat kota.
Can I sleep out?	Bisakah saya tidur?
I don't feel like going out.	Aku sedang malas pergi keluar.
Have you been abroad?	Kamu pernah ke luar negeri?
I want to go abroad.	Aku ingin ke luar negeri.
It's fun to learn about foreign cultures.	Belajar tentang budaya asing itu menyenangkan.
The air felt a little cold.	Udaranya terasa agak dingin.
Shine your shoes before going out.	Semir sepatumu sebelum pergi ke luar.
Could we have a table outside?	Bisakah kami duduk di meja luar?
May I go out to play?	Bolehkah aku pergi bermain?
I couldn't sleep well because it was noisy outside.	Aku tidak bisa tidur nyenyak karena diluar berisik.
What time does the play begin?	Jam berapa pertunjukkannya akan dimulai?
How many pictures did you buy?	Berapa banyak gambar yang kau beli?
You must not touch the paintings.	Kau tidak boleh menyentuh lukisannya.
Everybody was interested in the story.	Semua orang tertarik pada cerita tersebut.
I will miss you all.	Aku akan merindukan kalian semua.
Good morning, everybody.	Selamat pagi, semuanya.
Good morning, everyone.	Selamat pagi, semuanya.
Everybody laughed.	Semuanya tertawa.
Everybody looks up to him.	Semua orang menaruh hormat padanya.
Which way is the beach?	Pantainya ada di sebelah mana?
They went to the beach.	Mereka pergi ke pantai.
Would you like to travel abroad?	Apa kau ingin pergi jalan-jalan ke luar negeri?
Neptune is the eighth planet of the solar system.	Neptunus adalah planet kedelapan dalam tata surya.
I work for a shipping company.	Aku bekerja di sebuah perusahaan pengapalan.
Most creatures in the sea are affected by pollution.	Sebagian besar makhluk di laut terkena dampak polusi.
We're on our way home.	Kami sedang berada dalam perjalanan pulang.
Can you fix the broken radio?	Bisakah kau memperbaiki radio yang rusak itu?
About face!	Balik kanan!
Don't beat around the bush.	Jangan bicara berputar-putar.
You have to pay the price.	Kau harus membayar harganya
Do you know that conversation is one of the greatest pleasures in life?	Apa kau tahu bahwa percakapan adalah salah satu kebahagiaan terbesar dalam hidup?
Won't you join our conversation?	Mau bergabung dalam pembicaraan kami?
Call me at the office.	Hubungi aku melalui kantor.
The company rewarded him with promotion.	Perusahaan menghadiahkan kenaikan jabatan padanya.
We are having a meeting.	Kami sedang rapat.
The meeting was last month.	Rapat itu dilaksanakan sebulan yang lalu.
The meeting was put off until next Friday.	Rapat tersebut ditunda hingga Jumat depan.
The meeting begins at three.	Rapatnya akan dimulai pada pukul tiga.
The meeting lasted two hours.	Rapatnya berlangsung selama dua jam.
Where will we meet?	Di mana kita akan bertemu.
The meeting will be held tomorrow.	Rapatnya akan dilaksanakan besok.
Meetings are held every other week.	Rapat diadakan setiap seminggu sekali.
Sorry I'm late for the meeting.	Maaf saya datang terlambat.
I can't attend the meeting.	Saya tidak bisa menghadiri rapat itu.
All the members were present.	Semua anggota hadir.
The meeting took place yesterday.	Rapatnya diadakan kemarin.
The meeting finished at nine.	Rapatnya selesai pada pukul sembilan.
